Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Контрагенты	ПокупательКонтрагент					
				Ссылка	217b1973-cf52-11e5-80c8-00155d01cd0e		
				Наименование	Покупатель (Авто-тест)		
				НаименованиеПолное	Покупатель (Авто-тест)		
				ЮридическоеФизическоеЛицо	ЮридическоеЛицо	Предопределенный	
				ИНН	5911065178		
				КПП	591101001		
				Партнер	217b1972-cf52-11e5-80c8-00155d01cd0e	Гуид	
				ЮрФизЛицо	ЮрЛицо	Предопределенный	
			КонтактнаяИнформация				
				Тип	Адрес	Предопределенный	
				Вид	ЮрАдресКонтрагента	Предопределенный	
				Представление	112000, РФ, Москва, ул. Парижской Коммуны, 4		
				ВидДляСписка		Предопределенный	
			КонтактнаяИнформация				
				Тип	Адрес	Предопределенный	
				Вид	ПочтовыйАдресКонтрагента	Предопределенный	
				Представление	112000, РФ, Москва, ул. Парижской Коммуны, 4		
				ВидДляСписка		Предопределенный	
			xddMods				
				Режим	ОбменДанными		
Справочник	Партнеры	ПокупательПартнер					
				Ссылка	217b1972-cf52-11e5-80c8-00155d01cd0e		
				Наименование	Покупатель (Авто-тест)		
				Клиент	Истина		
				Поставщик	Истина		
				НаименованиеПолное	Покупатель (Авто-тест)		
				ЮрФизЛицо	Компания	Предопределенный	
			КонтактнаяИнформация				
				Тип	Адрес	Предопределенный	
				Вид	АдресПартнера	Предопределенный	
				Представление	112000, РФ, Москва, ул. Парижской Коммуны, 4		
Справочник	СоглашенияСКлиентами	СоглашениеСКлиентом					
				Ссылка	7527b56d-ec3d-11e5-80d0-00155d01ce18		
				Наименование	Соглашение с клиентом (Авто-тест)		
				Контрагент	ПокупательКонтрагент	Перем	
				Партнер	ПокупательПартнер	Перем	
				Валюта	643	Код	
				Статус	Действует	Предопределенный	
				Согласован	Истина		
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				ХозяйственнаяОперация	РеализацияКлиенту	Предопределенный	
				ПорядокОплаты	РасчетыВРубляхОплатаВРублях	Предопределенный	
				ИспользуютсяДоговорыКонтрагентов	Истина		
				ВариантРасчетаЦен	БезЦен	Предопределенный	
				ВидСоглашенияДляОграниченияЧтения	Индивидуальные	Предопределенный	
				ВидСоглашенияДляОграниченияИзменения	Индивидуальные	Предопределенный	
				ГруппаФинансовогоУчета	254e9bef-cb34-11e5-80c8-00155d01cd0e	ГУИД	
Справочник	СоглашенияСКлиентами	СоглашениеСКлиентомБезДоговоров					
				Ссылка	00f86f2f-7022-11e6-998b-00215e64f5ec		
				Наименование	Соглашение с клиентом без договоров (Авто-тест)		
				Контрагент	ПокупательКонтрагент	Перем	
				Партнер	ПокупательПартнер	Перем	
				Валюта	643	Код	
				ЦенаВключаетНДС	Истина		
				Статус	Действует	Предопределенный	
