Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	ФизическиеЛица	ФизЛицаГруппа				Группа	
				Ссылка	ac8ff205-95d8-11e6-998b-00215e64f5ec		
				Наименование	Физические лица (Авто-тест)		
			xddMods				
				Режим	Группа		
Справочник	ФизическиеЛица	ФизЛицо					
				Ссылка	ac8ff206-95d8-11e6-998b-00215e64f5ec		
				Родитель	ФизЛицаГруппа	Перем	
				Наименование	Авто-тест Иван Иванович		
				ДатаРождения	19750301000000		
				Пол	Мужской	Предопределенный	
				ФИО	Авто-тест Иван Иванович		
				НаименованиеСлужебное	АВТО-ТЕСТ ИВАН ИВАНОВИЧ		
			КонтактнаяИнформация				
				Тип	Адрес	Предопределенный	
				Вид	АдресПоПропискеФизическиеЛица	Предопределенный	
				Представление	РОССИЯ, 111020, Москва г, Авиамоторная ул, дом № 5, квартира 10		
				ЗначенияПолей	<КонтактнаяИнформация xmlns="http://www.v8.1c.ru/ssl/contactinfo" xmlns:xs="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" Представление="РОССИЯ, 111020, Москва г, Авиамоторная ул, дом № 5, квартира 10"><Комментарий/><Состав xsi:type="Адрес" Страна="РОССИЯ"><Состав xsi:type="АдресРФ"><СубъектРФ>Москва г</СубъектРФ><Улица>Авиамоторная ул</Улица><ОКТМО>45388000</ОКТМО><ДопАдрЭл><Номер Тип="2010" Значение="10"/></ДопАдрЭл><ДопАдрЭл><Номер Тип="1010" Значение="5"/></ДопАдрЭл><ДопАдрЭл ТипАдрЭл="10100000" Значение="111020"/></Состав></Состав></КонтактнаяИнформация>		
				Страна	РОССИЯ		
				Регион	Москва г		
				ВидДляСписка	АдресПоПропискеФизическиеЛица	Предопределенный	
			КонтактнаяИнформация				
				Тип	Адрес	Предопределенный	
				Вид	АдресМестаПроживанияФизическиеЛица	Предопределенный	
				Представление	РОССИЯ, 111020, Москва г, Авиамоторная ул, дом № 5, квартира 10		
				ЗначенияПолей	<КонтактнаяИнформация xmlns="http://www.v8.1c.ru/ssl/contactinfo" xmlns:xs="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" Представление="РОССИЯ, 111020, Москва г, Авиамоторная ул, дом № 5, квартира 10"><Комментарий/><Состав xsi:type="Адрес" Страна="РОССИЯ"><Состав xsi:type="АдресРФ"><СубъектРФ>Москва г</СубъектРФ><Улица>Авиамоторная ул</Улица><ОКТМО>45388000</ОКТМО><ДопАдрЭл><Номер Тип="2010" Значение="10"/></ДопАдрЭл><ДопАдрЭл><Номер Тип="1010" Значение="5"/></ДопАдрЭл><ДопАдрЭл ТипАдрЭл="10100000" Значение="111020"/></Состав></Состав></КонтактнаяИнформация>		
				Страна	РОССИЯ		
				Регион	Москва г		
				ВидДляСписка	АдресМестаПроживанияФизическиеЛица	Предопределенный	
			КонтактнаяИнформация				
				Тип	Адрес	Предопределенный	
				Вид	АдресДляИнформированияФизическиеЛица	Предопределенный	
