Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ВыработкаСотрудников	ВыработкаСотрудников1					
				Ссылка	f0d17c56-99e8-11e6-998b-00215e64f5ec		
				Дата	20160131223448		
				Автораспределение	Истина		
				Бригада	Бригада (Авто-тест)	Наименование	
				Валюта	643	Код	
				ВидНаряда	Производство	Предопределенный	
				Организация	Организация (Авто-тест)	Наименование	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				_ДлительностьРаботДокумента	24		
				Распоряжение			Строка
			ВидыРабот				
				ВидРабот	Виды работ (Авто-тест)	Наименование	
				Количество	24		
				Сумма	2400		
				Расценка	100		

			Сотрудники				
				Сотрудник	Авто-тест Иван Иванович	Наименование	
				НормативныйКТУ	1		
				Сумма	2400		
				_ДлительностьРаботСотрудника	24		
				_РольИсполнителяРабот	Рабочий цеха	Наименование	
