Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказКлиента	ЗаказКлиента1					
				Ссылка	b3cd09c1-701f-11e6-998b-00215e64f5ec		
				Дата	20160802235959		
				Номер	АВ00-000001		
				Партнер	Покупатель (Авто-тест)	Наименование	
				Контрагент	Покупатель (Авто-тест)	Наименование	
				Организация	Организация (Авто-тест)	Наименование	
				Соглашение	Соглашение с клиентом без договоров (Авто-тест)	Наименование	
				Валюта	643	Код	
				СуммаДокумента	25000		
				Склад	Склад ГП (Авто-тест)	Наименование	
				ЦенаВключаетНДС	Истина		
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				НеОтгружатьЧастями	Истина		
				Статус	КОбеспечению	Предопределенный	
				МаксимальныйКодСтроки	2		
				ДатаСогласования	20161123000000		
				Согласован	Истина		
				БанковскийСчет	Банковский счет (Авто-тест)	Наименование	
				ДатаОтгрузки	20161123000000		
				АдресДоставки	112000, РФ, Москва, ул. Парижской Коммуны, 4		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				ХозяйственнаяОперация	РеализацияКлиенту	Предопределенный	
				ГруппаФинансовогоУчета	Контрагенты в рублях (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Автор	Пользователи.ТекущийПользователь()	Выражение	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				СпособДоставки	Самовывоз	Предопределенный	
				Приоритет	Средний	Наименование	
				ИдентификаторПлатежа	ЗК1608АВ000000010000		
			Товары				
				ДатаОтгрузки	20161123000000		
				Номенклатура	Продукция товар с характеристиками (Авто-тест)	Наименование	
				Характеристика	Характеристика 1	Наименование	
				КоличествоУпаковок	25		
				Количество	25		
				Цена	1000		
				Сумма	25000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	3813,56		
				СуммаСНДС	25000		
				КодСтроки	1		
				Отменено	Ложь		
				Склад	Склад ГП (Авто-тест)	Наименование	
				ВариантОбеспечения	Требуется	Предопределенный	
				_КоличествоМест	50		
			ЭтапыГрафикаОплаты				
				ВариантОплаты	КредитПослеОтгрузки	Предопределенный	
				ДатаПлатежа	20160802000000		
				ПроцентПлатежа	100		
				СуммаПлатежа	25000		
				ПроцентЗалогаЗаТару	100		
Документ	ПоступлениеТоваровУслуг	ПоступлениеТоваровИУслуг1					
				Ссылка	b7d6309c-b18a-11e6-998b-00215e64f5ec		
				Дата	20160801235959		
				Номер	АВ00-000002		
				Валюта	643	Код	
				Партнер	Поставщик (Авто-тест)	Наименование	
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный	
				Организация	Организация (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Склад	Склад ГП (Авто-тест)	Наименование	
				Контрагент	Поставщик (Авто-тест)	Наименование	
				СуммаДокумента	1770		
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				ВалютаВзаиморасчетов	643	Код	
				ДатаПлатежа	20170302000000		
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				Согласован	Истина		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				СуммаВзаиморасчетов	1770		
				БанковскийСчетКонтрагента	Счет поставщика	Наименование	
				Автор	Пользователи.ТекущийПользователь()	Выражение	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				СпособДоставки	СиламиПоставщикаДоНашегоСклада	Предопределенный	
				АдресДоставки	112000, РФ, г. Москва, ул. Пражская, 4		
			Товары				
				Номенклатура	Продукция товар с характеристиками (Авто-тест)	Наименование	
				Характеристика	Характеристика 1	Наименование	
				КоличествоУпаковок	3		
				Количество	3		
				Цена	500		
				Сумма	1500		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	270		
				СуммаСНДС	1770		
				Склад	Склад ГП (Авто-тест)	Наименование	
				СуммаВзаиморасчетов	1770		
				СуммаНДСВзаиморасчетов	270		
				ВидЗапасов	Собственный товар	Наименование	
				ИдентификаторСтроки	1ecc25cf-b9b4-4f3e-925f-906ee6620041		
				СписатьНаРасходы	Ложь		
