Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ЗаказКлиента	ЗаказКлиента1					
				Ссылка	b3cd09c1-701f-11e6-998b-00215e64f5ec		
				Дата	20161226000000		
				Партнер	Покупатель (Авто-тест)	Наименование	
				Контрагент	Покупатель (Авто-тест)	Наименование	
				Организация	Организация (Авто-тест)	Наименование	
				Соглашение	Соглашение с клиентом (Авто-тест)	Наименование	
				Валюта	643	Код	
				СуммаДокумента	5900		
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				НеОтгружатьЧастями	Истина		
				Статус	КОбеспечению	Предопределенный	
				МаксимальныйКодСтроки	1		
				ДатаСогласования	20161226000000		
				Согласован	Истина		
				БанковскийСчет	Банковский счет (Авто-тест)	Наименование	
				ДатаОтгрузки	20161231000000		
				АдресДоставки	112000, РФ, Москва, ул. Парижской Коммуны, 4		
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				ХозяйственнаяОперация	РеализацияКлиенту	Предопределенный	
				ГруппаФинансовогоУчета	Контрагенты в рублях (Авто-тест)	Наименование	
				Договор	Договор покупатель по заказам (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Автор	Пользователи.ТекущийПользователь()	Выражение	СправочникСсылка.Пользователи
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				СпособДоставки	Самовывоз	Предопределенный	
				Приоритет	Средний	Наименование	
				ИдентификаторПлатежа	ЗК1612АВ000000010001		
			Товары				
				ДатаОтгрузки	20161231000000		
				Номенклатура	Продукция работа (Авто-тест)	Наименование	
				КоличествоУпаковок	5		
				Количество	5		
				Цена	1000		
				Сумма	5000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	900		
				СуммаСНДС	5900		
				КодСтроки	1		
				Отменено	Ложь		
				Содержание	Продукция работа (Авто-тест)		
				ВариантОбеспечения	Отгрузить	Предопределенный	
			ЭтапыГрафикаОплаты				
				ВариантОплаты	КредитПослеОтгрузки	Предопределенный	
				ДатаПлатежа	20161226000000		
				ПроцентПлатежа	100		
				СуммаПлатежа	5900		
Документ	ПоступлениеБезналичныхДенежныхСредств	ПоступлениеБезналичныхДС1					
				Ссылка	417ceff2-cb5d-11e6-998b-00215e64f5ec		
				Дата	20161226142007		
				Организация	Организация (Авто-тест)	Наименование	
				БанковскийСчет	Банковский счет (Авто-тест)	Наименование	
				ТипПлатежногоДокумента	ПлатежноеПоручение	Предопределенный	
				ХозяйственнаяОперация	ПоступлениеОплатыОтКлиента	Предопределенный	
				СуммаДокумента	5000		
				Контрагент	Покупатель (Авто-тест)	Наименование	
				ДатаВходящегоДокумента	20161226000000		
				НомерВходящегоДокумента	1		
				Валюта	643	Код	
				ПроведеноБанком	Истина		
				ДатаПроведенияБанком	20161226000000		
			РасшифровкаПлатежа				
				Партнер	Покупатель (Авто-тест)	Наименование	
				СтатьяДвиженияДенежныхСредств	ПоступлениеОплатыОтКлиента	Предопределенный	
				ОснованиеПлатежа	Договор покупатель по заказам (Авто-тест)	Наименование	СправочникСсылка.ДоговорыКонтрагентов
				Заказ	Договор покупатель по заказам (Авто-тест)	Наименование	СправочникСсылка.ДоговорыКонтрагентов
				Сумма	5000		
				ВалютаВзаиморасчетов	643	Код	
				СуммаВзаиморасчетов	5000		
				СтатьяДоходов			
				ИдентификаторСтроки	a76de236-4634-473c-93dc-38534113904a		
				Организация	Организация (Авто-тест)	Наименование	
