Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	РеализацияТоваровУслуг	РеализацияТоваровУслуг1					
				Ссылка	f4a920a0-8eed-11e6-998b-00215e64f5ec		
				Дата	20160102235959		
				АдресДоставки	112000, РФ, Москва, ул. Парижской Коммуны, 4		
				БанковскийСчетОрганизации	Банковский счет (Авто-тест)	Наименование	
				Валюта	643	Код	
				ВалютаВзаиморасчетов	643	Код	
				ДатаРаспоряжения	20160102235959		
				Организация	Организация (Авто-тест)	Наименование	
				Контрагент	Покупатель (Авто-тест)	Наименование	
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				СуммаДокумента	2000		
				Партнер	Покупатель (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Соглашение	Соглашение с клиентом без договоров (Авто-тест)	Наименование	
				СуммаВзаиморасчетов	2000		
				ХозяйственнаяОперация	РеализацияКлиенту	Предопределенный	
				ЦенаВключаетНДС	Истина		
				ГруппаФинансовогоУчета	Контрагенты в рублях (Авто-тест)	Наименование	
				Статус	Отгружено	Предопределенный	
				Автор	Пользователи.ТекущийПользователь()	Выражение	
				СпособДоставки	Самовывоз	Предопределенный	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				ДатаВозвратаМногооборотнойТары	2016012000000		
				ВариантОформленияПродажи	РеализацияТоваровУслуг	Предопределенный	
				ИдентификаторПлатежа	НК1601АВ000000010007		
				Склад	Склад ГП (Авто-тест)	Наименование	
			Товары				
				Номенклатура	Продукция товар с характеристиками (Авто-тест)	Наименование	
				Характеристика	Характеристика 1	Наименование	
				КоличествоУпаковок	2		
				Количество	2		
				Цена	1000		
				Сумма	2000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	305,08		
				СуммаСНДС	2000		
				Склад	Склад ГП (Авто-тест)	Наименование	
				СуммаВзаиморасчетов	2000		
				_КоличествоМест	4		
				_ЕдиницаМест	8356b318-8eef-11e6-998b-00215e64f5ec	Гуид	

Документ	ПоступлениеТоваровУслуг	ПоступлениеТоваровУслуг1					
				Ссылка	082c5cd7-8ef3-11e6-998b-00215e64f5ec		
				Дата	20160101235959		
				Валюта	643	Код	
				Партнер	Поставщик (Авто-тест)	Наименование	
				ХозяйственнаяОперация	ЗакупкаУПоставщика	Предопределенный	
				Организация	Организация (Авто-тест)	Наименование	
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Склад	Склад ГП (Авто-тест)	Наименование	
				Контрагент	Поставщик (Авто-тест)	Наименование	
				СуммаДокумента	1000		
				Менеджер	Пользователи.ТекущийПользователь()	Выражение	
				ЦенаВключаетНДС	Истина		
				ВалютаВзаиморасчетов	643	Код	
				ДатаПлатежа	20160101000000		
				ЗакупкаПодДеятельность	ПродажаОблагаетсяНДС	Предопределенный	
				НалогообложениеНДС	ПродажаОблагаетсяНДС	Предопределенный	
				СуммаВзаиморасчетов	1000		
				Автор	Пользователи.ТекущийПользователь()	Выражение	
				ПорядокРасчетов	ПоЗаказамНакладным	Предопределенный	
				СпособДоставки	СиламиПоставщикаДоНашегоСклада	Предопределенный	
				АдресДоставки	112000, РФ, г. Москва, ул. Пражская, 4		
			Товары				
				Номенклатура	Продукция товар с характеристиками (Авто-тест)	Наименование	
				Характеристика	Характеристика 1	Наименование	
				КоличествоУпаковок	2		
				Количество	2		
				Цена	500		
				Сумма	1000		
				СтавкаНДС	НДС18	Предопределенный	
				СуммаНДС	152,54		
				СуммаСНДС	1000		
				Склад	Склад ГП (Авто-тест)	Наименование	
				СуммаВзаиморасчетов	1000		
				СуммаНДСВзаиморасчетов	152,54		
				СписатьНаРасходы	Ложь		
