Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ФормированиеСоставаБригады	ФормированиеСоставаБригады1					
				Ссылка	e6426db2-95db-11e6-998b-00215e64f5ec		
				Дата	20160101120000		
				Подразделение	Подразделение 1 (Авто-тест)	Наименование	
				Бригада	Бригада (Авто-тест)	Наименование	
				НачалоПериода	20160101000000		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
			Сотрудники				
				Сотрудник	Авто-тест Иван Иванович	Наименование	
				НормативныйКТУ	1		
				_РольИсполнителяРабот	Рабочий цеха	Наименование	
