Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	НачислениеЗарплаты	РасчетНачислений1					
				Ссылка	3480963f-96c3-11e6-998b-00215e64f5ec		
				Дата	20160131120010		
				МесяцНачисления	20160101000000		
				Организация	Организация (Авто-тест)	Наименование	
				Начислено	2400		
				ПорядокВыплаты	Зарплата	Предопределенный	
				КраткийСоставДокумента	Авто-тест И.И.		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
			Начисления				
				Сотрудник	Авто-тест Иван Иванович	Наименование	
				Подразделение	Подразделение организации (Авто-тест)	Наименование	
				ДатаНачала	20160101000000		
				ДатаОкончания	20160131000000		
				Начисление	Сдельный заработок (по выработке)	Наименование	
				Результат	2400		
				ФиксСтрока	Ложь		
				ФиксЗаполнение	Ложь		
				ФиксРасчетВремени	Ложь		
				ФиксРасчет	Ложь		
				ГрафикРаботы	Пятидневка (Авто-тест)	Наименование	СправочникСсылка.ГрафикиРаботыСотрудников
				ВидУчетаВремени	Явка	Предопределенный	
				ВремяВЧасах	Ложь		
				ГрафикРаботыНорма	Пятидневка (Авто-тест)	Наименование	СправочникСсылка.ГрафикиРаботыСотрудников
				ИдентификаторСтрокиВидаРасчета	1		
				ПериодДействия	20160101000000		
			Показатели				
				Показатель	СдельныйЗаработок	Предопределенный	
				Значение	2400		
				ИдентификаторСтрокиВидаРасчета	1		
			ФизическиеЛица				
				ФизическоеЛицо	Авто-тест Иван Иванович	Наименование	
