Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ОтражениеЗарплатыВФинансовомУчете	ОтражениеЗПвБУ1					
				Ссылка	d42037fe-9770-11e6-998b-00215e64f5ec		
				Дата	20160131235959		
				ПериодРегистрации	20160101000000		
				Организация	Организация (Авто-тест)	Наименование	
				КраткийСоставДокумента	Авто-тест И.И.		
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
			НачисленнаяЗарплатаИВзносы				
				ПодразделениеПредприятия	Подразделение 1 (Авто-тест)	Наименование	
				ВидОперации	НачисленоСдельноДоход	Предопределенный	
				ОблагаетсяЕНВД	Ложь		
				Сумма	2400		
			НачисленнаяЗарплатаИВзносыПоФизлицам				
				ФизическоеЛицо	Авто-тест Иван Иванович	Наименование	
				ПодразделениеПредприятия	Подразделение 1 (Авто-тест)	Наименование	
				ВидОперации	НачисленоСдельноДоход	Предопределенный	
				ОблагаетсяЕНВД	Ложь		
				Сумма	2400		
				ВидНачисленияОплатыТрудаДляНУ	пп1ст255	Предопределенный	
			ФизическиеЛица				
				ФизическоеЛицо	Авто-тест Иван Иванович	Наименование	
