Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Документ	ПриемНаРаботу	ПриемНаРаботу1					
				Ссылка	7d972ac6-96c0-11e6-998b-00215e64f5ec		
				Дата	20160101120000		
				Организация	Организация (Авто-тест)	Наименование	
				Подразделение	Подразделение организации (Авто-тест)	Наименование	
				Сотрудник	Авто-тест Иван Иванович	Наименование	
				ФизическоеЛицо	Авто-тест Иван Иванович	Наименование	
				Должность	Рабочий (Авто-тест)	Наименование	
				ДолжностьПоШтатномуРасписанию	Рабочий (Авто-тест) /Подразделение организации (Авто-тест)/	Наименование	
				ДатаПриема	20160101000000		
				КоличествоСтавок	1		
				ВидЗанятости	ОсновноеМестоРаботы	Предопределенный	
				ГрафикРаботы	Пятидневка (Авто-тест)	Наименование	
				СпособРасчетаАванса	РасчетомЗаПервуюПоловинуМесяца	Предопределенный	
				УсловияПриема	Основное место работы, полная занятость		
				НачисленияУтверждены	Истина		
				ВидДоговора	ТрудовойДоговор	Предопределенный	
				Ответственный	Пользователи.ТекущийПользователь()	Выражение	
			Начисления				
				Начисление	Сдельный заработок (по выработке)	Наименование	
				ИдентификаторСтрокиВидаРасчета	1		
			ЕжегодныеОтпуска				
				ВидЕжегодногоОтпуска	Основной	Предопределенный	
				КоличествоДнейВГод	28		
